Id_Buses,04-04-2022,05-04-2022,06-04-2022,07-04-2022,08-04-2022,09-04-2022,10-04-2022,11-04-2022,12-04-2022,13-04-2022,14-04-2022,15-04-2022,16-04-2022,17-04-2022,18-04-2022,19-04-2022,20-04-2022,21-04-2022,22-04-2022,23-04-2022,24-04-2022,25-04-2022,26-04-2022,27-04-2022,28-04-2022
Z677041,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677042,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677043,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677046,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677052,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677053,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Sin Registro,Sin Registro,Sin datos,Sin datos,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
Z677054,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto
Z677058,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677059,Dato irregular,Dato irregular,Sin datos,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Sin datos,Sin datos,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular,Dato irregular
z677060,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677062,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677063,Dato irregular,Dato irregular,Dato irregular,Sin Registro,Dato irregular,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z677067,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Sin Registro,Sin Registro,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto,Dato correcto
Z6637048,Sin Registro,Sin Registro,Sin Registro,Sin datos,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro,Sin Registro
